population,alpha,beta,amplitude,period
100,1.000000,0.100000,0.043086,463.590909
100,10000.000000,1000.000000,0.0,-1.0
100,10000.000000,0.000100,0.005334,302.571429
100,1.000000,0.000010,0.006978,344.502857
100,10000.000000,0.000010,0.006052,312.936170
100,1.000000,10000.000000,0.0,-1.0
100,0.001000,10000.000000,0.0,-1.0
100,0.000100,0.010000,0.010032,358.234375
100,0.010000,0.010000,0.049750,408.162162
100,0.001000,10.000000,0.0,-1.0
100,10.000000,10000.000000,0.0,-1.0
100,0.000010,0.000010,0.018961,267.838710
100,100.000000,1000.000000,0.0,-1.0
100,0.000100,1000.000000,0.0,-1.0
10,0.010000,100.000000,0.0,-1.0
10,0.000010,0.100000,0.022212,192.666667
10,10000.000000,10000.000000,0.000004,363.833333
10,100.000000,1000.000000,0.0,-1.0
10,1000.000000,0.000100,0.004469,182.588235
10,10000.000000,0.000010,0.003108,189.368421
10,0.010000,0.001000,0.002889,380.666667
10,10.000000,0.000100,0.001581,223.400000
10,10000.000000,10.000000,0.0,-1.0
10,0.000100,100.000000,0.0,-1.0
10,0.100000,100.000000,0.0,-1.0
10,0.000100,1.000000,0.020327,99.000000
10,0.010000,0.100000,0.034966,556.666667
10,0.010000,0.000100,0.002334,208.000000
10,1000.000000,0.010000,0.005724,249.833333
10,1000.000000,0.100000,0.011242,299.750000
10,10000.000000,100.000000,0.0,-1.0
10,1.000000,1000.000000,0.000000,77.000000
10,0.010000,1.000000,0.0,-1.0
10,0.001000,0.000010,0.205185,378.923077
10,0.001000,0.100000,0.108039,1670.000000
10,100.000000,0.010000,0.060985,177.750000
10,0.001000,1.000000,0.198090,933.500000
10,10.000000,0.001000,0.005956,263.875000
10,10000.000000,0.000100,0.004363,315.000000
10,1000.000000,1000.000000,0.000000,13.714286
10,1000.000000,0.000010,0.014352,574.400000
10,1.000000,1.000000,0.0,-1.0
10,0.001000,10.000000,0.0,-1.0
10,0.010000,0.010000,0.005317,244.222222
10,10000.000000,0.001000,0.004079,220.705882
10,0.010000,10.000000,0.000000,57.777778
10,1000.000000,100.000000,0.000000,6.363636
10,0.000010,0.000100,0.010974,696.000000
10,0.000010,0.000010,0.006598,252.500000
10,100.000000,10000.000000,0.000000,10.500000
10,0.000100,0.001000,0.009979,541.200000
10,100.000000,0.100000,0.114044,554.666667
10,0.001000,10000.000000,0.0,-1.0
10,1.000000,0.100000,0.012832,224.444444
10,10.000000,10.000000,0.000000,32.307692
10,0.100000,0.010000,0.008918,405.000000
10,100.000000,10.000000,0.0,-1.0
10,1.000000,10000.000000,0.000000,20.000000
10,10.000000,0.010000,0.009382,238.000000
10,0.100000,1000.000000,0.0,-1.0
10,0.000100,1000.000000,7.898238,1729.000000
10,0.001000,0.001000,0.008885,250.333333
10,100.000000,0.000010,0.011566,561.578947
10,0.010000,1000.000000,0.0,-1.0
10,0.100000,10.000000,0.000382,2208.000000
10,0.100000,10000.000000,0.000000,82.000000
10,1000.000000,1.000000,0.036141,224.000000
10,0.000100,10.000000,0.019975,392.000000
10,0.000100,0.000010,0.007887,545.142857
10,10.000000,0.100000,0.047885,435.714286
10,0.000010,1000.000000,0.0,-1.0
10,0.000100,0.000100,0.005777,362.666667
10,0.000010,100.000000,0.0,-1.0
10,0.000100,0.010000,0.012557,961.111111
10,0.100000,0.001000,0.352266,492.153846
10,0.000010,10.000000,0.000001,24.833333
10,0.100000,0.000100,0.001497,337.176471
10,10.000000,1000.000000,0.0,-1.0
10,1.000000,0.001000,0.006147,566.615385
10,1.000000,0.010000,0.014360,541.888889
10,100.000000,100.000000,17.615366,432.875000
10,0.100000,0.100000,0.026732,428.666667
10,100.000000,0.001000,0.004434,581.833333
10,0.001000,0.000100,0.046749,280.533333
10,10.000000,0.000010,0.007024,391.176471
10,1.000000,0.000010,0.010936,505.833333
10,0.100000,0.000010,0.008689,416.545455
10,0.010000,0.000010,0.077916,303.333333
10,100.000000,0.000100,0.013043,375.666667
10,0.000010,0.001000,0.005482,325.230769
10,1.000000,0.000100,0.007617,284.000000
10,0.001000,0.010000,0.007694,317.555556
10,10000.000000,0.010000,0.036761,305.200000
10,1000.000000,10.000000,111.169233,944.333333
10,0.001000,100.000000,9.991937,1736.000000
10,1000.000000,0.001000,0.005791,252.923077
10,10000.000000,1000.000000,0.001111,417.666667
10,10.000000,100.000000,0.0,-1.0
